title:sc5, start timestamp:2019-12-27T07:33:03.353254+03:00, stop timestamp:2019-12-27T07:33:34.222031+03:00, headset type:INSIGHT, headset serial:A2D200FB, headset firmware:930, subject name:Qasim, channels:44, sampling rate:eeg_128;pow_8, samples:3958      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1577421183.353254,44.000000,0.000000,4262.563965,4283.589844,4181.538574,4141.025879,4238.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.360951,45.000000,0.000000,4273.846191,4269.230957,4166.153809,4111.282227,4229.743652,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.368848,46.000000,0.000000,4279.487305,4280.512695,4186.666504,4138.974121,4227.179688,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.376645,47.000000,0.000000,4288.205078,4287.179688,4197.948730,4167.179688,4230.769043,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.384441,48.000000,0.000000,4291.282227,4273.333496,4194.871582,4150.256348,4226.153809,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.392238,49.000000,0.000000,4277.436035,4260.512695,4185.128418,4101.538574,4205.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.400035,50.000000,0.000000,4271.282227,4266.153809,4185.128418,4090.769287,4198.974121,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.407732,51.000000,0.000000,4278.461426,4281.538574,4197.436035,4120.512695,4207.179688,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.415628,52.000000,0.000000,4274.358887,4292.820313,4195.897461,4121.025879,4197.436035,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.423425,53.000000,0.000000,4285.641113,4312.820313,4203.589844,4120.512695,4202.563965,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.431321,54.000000,0.000000,4277.436035,4313.846191,4206.666504,4131.794922,4201.538574,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.439117,55.000000,0.000000,4231.794922,4296.922852,4193.333496,4118.974121,4175.384766,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.447014,56.000000,0.000000,4224.102539,4305.641113,4195.384766,4097.948730,4168.717773,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.454810,57.000000,0.000000,4267.179688,4324.615234,4216.922852,4119.487305,4193.333496,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,5.017509,5.805161,4.464762,2.949890,2.127638,21.683300,1.375939,2.148031,1.187976,1.114619,13.583441,5.348528,3.804318,2.688470,1.866314,5.912353,3.665442,3.111120,3.749663,2.896714,5.380116,6.478742,5.572931,3.271191,2.066356
1577421183.462707,58.000000,0.000000,4297.948730,4326.153809,4245.128418,4155.384766,4236.922852,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.470503,59.000000,0.000000,4275.897461,4320.512695,4243.589844,4141.538574,4243.077148,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.478400,60.000000,0.000000,4244.615234,4328.717773,4211.794922,4138.461426,4205.641113,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.486196,61.000000,0.000000,4256.410156,4327.692383,4211.794922,4155.384766,4194.871582,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.494093,62.000000,0.000000,4287.692383,4316.922852,4243.589844,4144.615234,4218.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.501889,63.000000,0.000000,4309.230957,4326.666504,4264.615234,4168.205078,4240.512695,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.509786,64.000000,0.000000,4294.358887,4306.153809,4245.128418,4179.487305,4220.512695,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.517582,65.000000,0.000000,4258.461426,4264.102539,4216.410156,4125.128418,4187.692383,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.525379,66.000000,0.000000,4264.615234,4266.666504,4232.820313,4132.820313,4206.153809,16222.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.533175,67.000000,0.000000,4278.461426,4274.358887,4246.666504,4179.487305,4213.846191,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.540872,68.000000,0.000000,4270.769043,4274.358887,4235.384766,4167.179688,4197.948730,16201.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.548768,69.000000,0.000000,4261.538574,4280.512695,4230.769043,4129.230957,4194.871582,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.556565,70.000000,0.000000,4237.436035,4260.000000,4223.077148,4122.051270,4172.820313,16166.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
1577421183.564461,71.000000,0.000000,4243.077148,4258.974121,4228.717773,4140.000000,4168.205078,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,
