title:000, start timestamp:2019-12-31T00:42:33.094599+03:00, stop timestamp:2019-12-31T00:42:38.606559+03:00, headset type:INSIGHT, headset serial:A2D200FB, headset firmware:930, subject name:Qasim, channels:56, sampling rate:eeg_128;mot_64;pow_8, samples:710       , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1577742153.094599,72.000000,0.000000,4141.538574,4345.128418,4096.410156,4154.358887,4145.641113,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,36.000000,0.000000,0.373456,0.230957,0.845459,0.303955,0.552743,-0.609384,0.567391,-2.652120,-51.644783,57.972240,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.102496,73.000000,0.000000,4122.563965,4340.000000,4078.461426,4138.461426,4128.717773,16201.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.110293,74.000000,0.000000,4093.846191,4332.307617,4058.974365,4102.563965,4104.615234,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,37.000000,0.000000,0.373456,0.230957,0.845459,0.303955,0.555184,-0.607431,0.581064,-1.669124,-51.564610,58.036922,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.118190,75.000000,0.000000,4115.384766,4334.871582,4089.230713,4129.743652,4125.641113,16214.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,11.346301,7.848724,5.037527,2.369823,4.320252,0.909879,0.506740,0.862848,0.935575,2.262560,1.621688,3.267874,4.835222,1.972100,4.139341,1.161274,5.895323,4.869762,2.744695,4.893229,3.082777,8.923175,6.303549,2.800451,4.984644
1577742153.125987,76.000000,0.000000,4162.563965,4363.589844,4128.205078,4184.615234,4171.794922,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,38.000000,0.000000,0.373253,0.230713,0.845703,0.303711,0.560067,-0.610849,0.561532,-4.672426,-51.552269,58.095139,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.133884,77.000000,0.000000,4172.820313,4372.307617,4134.871582,4195.897461,4191.282227,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.141682,78.000000,0.000000,4152.307617,4335.384766,4121.538574,4170.769043,4175.384766,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,39.000000,0.000000,0.373102,0.230957,0.845703,0.303711,0.560555,-0.616220,0.556649,-0.616261,-51.541164,58.207344,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.149579,79.000000,0.000000,4136.410156,4319.487305,4106.666504,4147.692383,4150.256348,16214.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.157376,80.000000,0.000000,4128.205078,4329.743652,4096.410156,4142.051270,4133.846191,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,40.000000,0.000000,0.372747,0.230957,0.845947,0.303467,0.551278,-0.614267,0.569345,-0.016297,-51.531170,58.248516,,,,,,,,,,,,,,,,,,,,,,,,,
1577742153.165273,81.000000,0.000000,4114.358887,4327.179688,4086.153809,4141.538574,4120.512695,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
